bigg_id	name	old_bigg_ids	inchikey
3c2hmp_c	3-Carboxy-2-hydroxy-4-methylpentanoate	3c2hmp; 3c2hmp[c]; 3c2hmp_c; _3c2hmp_c	RNQHMTFBUSSBJQ-CRCLSJGQSA-L
3c3hmp_c	3-Carboxy-3-hydroxy-4-methylpentanoate	3c3hmp; 3c3hmp[c]; 3c3hmp_c; _3c3hmp_c	BITYXLXUCSKTJS-ZETCQYMHSA-L
3c4mop_c	3-Carboxy-4-methyl-2-oxopentanoate	3c4mop; 3c4mop[c]; 3c4mop_c; _3c4mop_c	HIIZAGQWABAMRR-BYPYZUCNSA-L
3dhq_c	3-Dehydroquinate	3dhq; 3dhq[c]; 3dhq_c; _3dhq_c	WVMWZWGZRAXUBK-SYTVJDICSA-M
3haACP_c	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	3haACP; 3haACP[c]; 3haACP_c; _3haACP_c	DUZIARBDEISQDQ-UHFFFAOYSA-N
3hadpcoa_c	(3S)-3-Hydroxyadipyl-CoA	3hadpcoa; 3hadpcoa_c	OTEACGAEDCIMBS-NOTSHUFBSA-I
3hcddec5eACP_c	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	3hcddec5eACP; 3hcddec5eACP[c]; 3hcddec5eACP_c; _3hcddec5eACP_c	
3hcmrs7eACP_c	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	3hcmrs7eACP; 3hcmrs7eACP[c]; 3hcmrs7eACP_c; _3hcmrs7eACP_c	
3hdcoa_c	(S)-3-Hydroxydecanoyl-CoA	3hdcoa; 3hdcoa[c]; 3hdcoa_c; _3hdcoa_c	HIVSMYZAMUNFKZ-PNPVFPMQSA-J
3hdecACP_c	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	3hdecACP; 3hdecACP[c]; 3hdecACP_c; _3hdecACP_c	
3hhdcoa_c	(S)-3-Hydroxyhexadecanoyl-CoA	3hhdcoa; 3hhdcoa_c; _3hhdcoa_c	DEHLMTDDPWDRDR-BCIKBWLNSA-J
3hocoa_c	(S)-3-Hydroxyoctanoyl-CoA	3hocoa; 3hocoa_c; _3hocoa_c	ATVGTMKWKDUCMS-OTOYJEMWSA-J
3hoctaACP_c	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	3hoctaACP; 3hoctaACP[c]; 3hoctaACP_c; _3hoctaACP_c	JUWWOELEMQTFIY-QGZVFWFLSA-N
3hpppn_c	3-(3-hydroxy-phenyl)propionate	3hpppn; 3hpppn[c]; 3hpppn_c	QVWAEZJXDYOKEH-UHFFFAOYSA-M
3mop_c	(S)-3-Methyl-2-oxopentanoate	3mop; 3mop[c]; 3mop_c; _3mop_c	JVQYSWDUAOAHFM-BYPYZUCNSA-M
3ocddec5eACP_c	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	3ocddec5eACP; 3ocddec5eACP[c]; 3ocddec5eACP_c; _3ocddec5eACP_c	
3odcoa_c	3-Oxodecanoyl-CoA	3odcoa; 3odcoa_c; _3odcoa_c	AZCVXMAPLHSIKY-HSJNEKGZSA-J
3ohcoa_c	3-Oxohexanoyl-CoA	3ohcoa; 3ohcoa_c; _3ohcoa_c	NFOYYXQAVVYWKV-HDRQGHTBSA-J
3opalmACP_c	3-Oxohexadecanoyl-[acyl-carrier protein]	3opalmACP; 3opalmACP[c]; 3opalmACP_c; _3opalmACP_c	
3pg_c	3-Phospho-D-glycerate	3pg; 3pg[c]; 3pg_c; _3pg_c	OSJPPGNTCRNQQC-UWTATZPHSA-K
4h2opntn_c	4-Hydroxy-2-oxopentanoate	4h2opntn; 4h2opntn_c; 4h2oxov; 4h2oxov_c	HFKQINMYQUXOCH-UHFFFAOYSA-M
5aizc_c	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	5aizc; 5aizc[c]; 5aizc_c; _5aizc_c	XFVULMDJZXYMSG-ZIYNGMLESA-L
5aop_c	5-Amino-4-oxopentanoate	5aop; 5aop[c]; 5aop_c; _5aop_c	ZGXJTSGNIOSYLO-UHFFFAOYSA-N
5mta_c	5-Methylthioadenosine	5mta; 5mta[c]; 5mta_c; _5mta_c	WUUGFSXJNOTRMR-IOSLPCCCSA-N
5mtr_c	5-Methylthio-D-ribose	5mtr; 5mtr[c]; 5mtr_c	ACWASDPGAVYCNI-JKUQZMGJSA-N
6pgc_c	6-Phospho-D-gluconate	6pgc; 6pgc[c]; 6pgc_c; _6pgc_c	BIRSGZKFKXLSJQ-SQOUGZDYSA-K
acald_c	Acetaldehyde	acald; acald[c]; acald_c	IKHGUXGNUITLKF-UHFFFAOYSA-N
acetol_c	Acetol cytosol	acetol; acetol[c]; acetol_c	XLSMFKSTNGKWQX-UHFFFAOYSA-N
acglu_c	N-Acetyl-L-glutamate	acglu; acglu[c]; acglu_c	RFMMMVDNIPUKGG-YFKPBYRVSA-L
acorn_c	N2-Acetyl-L-ornithine	acorn; acorn[c]; acorn_c	JRLGPAXAGHMNOL-LURJTMIESA-N
acser_c	O-Acetyl-L-serine	acser; acser[c]; acser_c	VZXPDPZARILFQX-BYPYZUCNSA-N
actp_c	Acetyl phosphate	actp; actp[c]; actp_c	LIPOUNRJVLNBCD-UHFFFAOYSA-L
adp_c	ADP C10H12N5O10P2	adp; adp[c]; adp_c	XTWYTFMLZFPYCI-KQYNXXCUSA-K
adprib_c	ADPribose C15H21N5O14P2	adprib; adprib[c]; adprib_c	SRNWOUGRCWSEMX-TYASJMOZSA-L
ag_c	Silver	ag; ag_c	FOIXSVOLVBLSDH-UHFFFAOYSA-N
ahdt_c	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	ahdt; ahdt[c]; ahdt_c	DGGUVLXVLHAAGT-XINAWCOVSA-J
akg_c	2-Oxoglutarate	akg; akg[c]; akg_c	KPGXRSRHYNQIFN-UHFFFAOYSA-L
ala_B_c	Beta-Alanine	ala-B[c]; ala_B; ala_B[c]; ala_B_c; ala_DASH_B_c; ala__B_c	UCMIRNVEIXFBKS-UHFFFAOYSA-N
ala__L_c	L-Alanine	ala-L[c]; ala_DASH_L_c; ala_L[c]; ala_L_c; ala__L; ala__L_c	QNAYBMKLOCPYGJ-REOHCLBHSA-N
all6p_c	D-Allose 6-phosphate	all6p; all6p_c	VFRROHXSMXFLSN-BGPJRJDNSA-L
amet_c	S-Adenosyl-L-methionine	amet; amet[c]; amet_c	MEFKEPWMEQBLKI-AIRLBKTGSA-O
ametam_c	S-Adenosylmethioninamine	ametam; ametam[c]; ametam_c	ZUNBITIXDCPNSD-LSRJEVITSA-O
apg160_c	Acyl phosphatidylglycerol (n-C16:0)	apg160; apg160_c	BSAFHIMUDGXOPA-OKPYTHRESA-M
apg161_c	Acyl phosphatidylglycerol (n-C16:1)	apg161; apg161_c	
apg180_c	Acyl phosphatidylglycerol (n-C18:0)	apg180; apg180_c	WCMVNCVROQLVSH-JBQXKKLXSA-M
apg181_c	Acyl phosphatidylglycerol (n-C18:1)	apg181; apg181_c	
arab__L_c	L-Arabinose	arab-L[c]; arab_DASH_L_c; arab_L[c]; arab_L_c; arab__L; arab__L_c	PYMYPHUHKUWMLA-VAYJURFESA-N
aragund_c	O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	aragund; aragund_c	WYHMIVUCEAXZMZ-LRILUZMESA-L
argtrna_c	L-Arginyl-tRNA(Arg)	argtrna; argtrna[c]; argtrna_c	
aso3_c	Arsenite	aso3; aso3_c	AQLMHYSWFMLWBS-UHFFFAOYSA-N
btal_c	Butanal C4H8O	btal; btal[c]; btal_c	ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
btcoa_c	Butanoyl-CoA	btcoa; btcoa[c]; btcoa_c	CRFNGMNYKDXRTN-CITAKDKDSA-J
btn_c	Biotin	btn; btn[c]; btn_c	YBJHBAHKTGYVGT-ZKWXMUAHSA-M
btnso_c	D-biotin d-sulfoxide	btnso; btnso_c	KCSKCIQYNAOBNQ-YBSFLMRUSA-M
butso3_c	Butanesulfonate	butso3; butso3_c	QDHFHIQKOVNCNC-UHFFFAOYSA-M
cbasp_c	N-Carbamoyl-L-aspartate	cbasp; cbasp[c]; cbasp_c	HLKXYZVTANABHZ-REOHCLBHSA-L
cddec5eACP_c	Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	cddec5eACP; cddec5eACP[c]; cddec5eACP_c	
cdpdodecg_c	CDP-1,2-dioctadecanoylglycerol	cdpdodecg; cdpdodecg[c]; cdpdodecg_c	PDCWLWQTNQCGRI-IGIWICMZSA-L
cdpdtdecg_c	CDP-1,2-ditetradecanoylglycerol	cdpdtdecg; cdpdtdecg[c]; cdpdtdecg_c	ICFWXMWHAMIZGF-WNAWUNHNSA-L
cpe160_c	Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)	cpe160; cpe160_c	DTFRUHREBAYLCS-UHFFFAOYSA-M
cpe180_c	Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)	cpe180; cpe180_c	HCFAHMIUAQMBSN-UHFFFAOYSA-M
crn_c	L-Carnitine	crn; crn[c]; crn_c	PHIQHXFUZVPYII-ZCFIWIBFSA-N
ctbtcoa_c	Crotonobetainyl-CoA	ctbtcoa; ctbtcoa_c	WAUPBDVHJXXZGW-HXPULJKESA-K
cys__L_c	L-Cysteine	cys-L[c]; cys_DASH_L_c; cys_L[c]; cys_L_c; cys__L; cys__L_c	XUJNEKJLAYXESH-REOHCLBHSA-N
cyst__L_c	L-Cystathionine	cyst-L[c]; cyst_DASH_L_c; cyst_L[c]; cyst_L_c; cyst__L; cyst__L_c; cysth_L_c; cysth__L	ILRYLPWNYFXEMH-WHFBIAKZSA-N
cytd_c	Cytidine	cytd; cytd[c]; cytd_c	UHDGCWIWMRVCDJ-XVFCMESISA-N
datp_c	DATP C10H12N5O12P3	datp; datp[c]; datp_c	SUYVUBYJARFZHO-RRKCRQDMSA-J
dcamp_c	N6-(1,2-Dicarboxyethyl)-AMP	dcamp; dcamp[c]; dcamp_c	OFBHPPMPBOJXRT-DPXQIYNJSA-J
ddca_c	Dodecanoate (n-C12:0)	ddca; ddca[c]; ddca_c	
dgdp_c	DGDP C10H12N5O10P2	dgdp; dgdp[c]; dgdp_c	CIKGWCTVFSRMJU-KVQBGUIXSA-K
dgslnt_c	Selenodiglutathione	dgslnt; dgslnt_c	GJEZZQVPWMCGSB-BJDJZHNGSA-L
dgtp_c	DGTP C10H12N5O13P3	dgtp; dgtp[c]; dgtp_c	HAAZLUGHYHWQIW-KVQBGUIXSA-J
dha_c	Dihydroxyacetone	dha; dha[c]; dha_c	RXKJFZQQPQGTFL-UHFFFAOYSA-N
dhmpt_c	Dihydromonapterin	dhmpt; dhmpt_c	
dhmptp_c	Dihydromonapterin-triphosphate	dhmptp; dhmptp_c	DGGUVLXVLHAAGT-NJGYIYPDSA-K
dhnpt_c	Dihydroneopterin	dhnpt; dhnpt[c]; dhnpt_c	YQIFAMYNGGOTFB-XINAWCOVSA-N
dimp_c	DIMP C10H12N4O7P	dimp; dimp[c]; dimp_c	PHNGFPPXDJJADG-RRKCRQDMSA-L
din_c	Deoxyinosine	din; din[c]; din_c	VGONTNSXDCQUGY-RRKCRQDMSA-N
dmpp_c	Dimethylallyl diphosphate	dmpp; dmpp[c]; dmpp_c	CBIDRCWHNCKSTO-UHFFFAOYSA-K
dtdpglu_c	DTDPglucose	dtdpglu; dtdpglu[c]; dtdpglu_c	YSYKRGRSMLTJNL-URARBOGNSA-L
dttp_c	DTTP C10H13N2O14P3	dttp; dttp[c]; dttp_c	NHVNXKFIZYSCEB-XLPZGREQSA-J
dump_c	DUMP C9H11N2O8P	dump; dump[c]; dump_c	JSRLJPSBLDHEIO-SHYZEUOFSA-L
dutp_c	DUTP C9H11N2O14P3	dutp; dutp[c]; dutp_c	AHCYMLUZIRLXAA-SHYZEUOFSA-J
eig3p_c	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	eig3p; eig3p[c]; eig3p_c	HFYBTHCYPKEDQQ-RITPCOANSA-L
f1p_c	D-Fructose 1-phosphate	f1p; f1p[c]; f1p_c	RHKKZBWRNHGJEZ-VRPWFDPXSA-L
fad_c	Flavin adenine dinucleotide oxidized	fad; fad[c]; fad_c	IMGVNJNCCGXBHD-UYBVJOGSSA-K
fe2_c	Fe2+ mitochondria	fe2; fe2[c]; fe2_c	CWYNVVGOOAEACU-UHFFFAOYSA-N
fecrm_c	Ferrichrome	fecrm; fecrm_c	GGUNGDGGXMHBMJ-OCIDDWSYSA-N
feoxam_c	Generic ferrioxamine-Fe-III	feoxam; feoxam_c	SRMBQCVUAVULDJ-UHFFFAOYSA-O
feoxam_un_c	Ferroxamine minus Fe(3)	feoxam_DASH_un_c; feoxam__un_c; feoxam_un; feoxam_un_c	
forcoa_c	Formyl-CoA(4-)	forcoa; forcoa_c; formcoa; formcoa[c]; formcoa_c	SXMOKYXNAPLNCW-GORZOVPNSA-J
frdp_c	Farnesyl diphosphate	frdp; frdp[c]; frdp_c	VWFJDQUYCIWHTN-YFVJMOTDSA-K
fruur_c	D-Fructuronate	fruur; fruur[c]; fruur_c	PTCIWUZVDIQTOW-XDJBDKDSSA-M
fuc__L_c	L-Fucose	fuc_DASH_L_c; fuc_L[c]; fuc_L_c; fuc__L; fuc__L_c	PNNNRSAQSRJVSB-KCDKBNATSA-N
g3pc_c	Sn-Glycero-3-phosphocholine	g3pc; g3pc[c]; g3pc_c	SUHOQUVVVLNYQR-MRVPVSSYSA-N
g3pe_c	Sn-Glycero-3-phosphoethanolamine	g3pe; g3pe[c]; g3pe_c	JZNWSCPGTDBMEW-YFKPBYRVSA-N
g3pi_c	Sn-Glycero-3-phospho-1-inositol	g3pi; g3pi_c	BMVUIWJCUQSHLZ-UJGXJMNGSA-M
gdpofuc_c	GDP-4-oxo-L-fucose	gdpofuc; gdpofuc_c	PNHLMHWWFOPQLK-WAMCPPDZSA-L
gdptp_c	Guanosine 3'-diphosphate 5'-triphosphate	gdptp; gdptp[c]; gdptp_c	KCPMACXZAITQAX-UUOKFMHZSA-H
ggagicolipa_c	Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	ggagicolipa; ggagicolipa_c	WLEFLXRCTUWFSD-CCRRCLIHSA-C
gggagicolipa_c	Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	gggagicolipa; gggagicolipa_c	DJHBKVISRABJNG-HEIPHTFDSA-C
ghb_c	Gamma-hydroxybutyrate	ghb; ghb_c	SJZRECIVHVDYJC-UHFFFAOYSA-M
gicolipa_c	Glucosyl-inner core oligosaccharide lipid A	gicolipa; gicolipa_c	JIYBFSMTJJSDHN-XHEUBBKESA-C
glcn_c	D-Gluconate	glcn; glcn[c]; glcn_c	RGHNJXZEOKUKBD-SQOUGZDYSA-M
glu__D_c	D-Glutamate	glu-D[c]; glu_DASH_D_c; glu_D[c]; glu_D_c; glu__D; glu__D_c	WHUUTDBJXJRKMK-GSVOUGTGSA-M
glyc__R_c	(R)-Glycerate	glyc-R[c]; glyc_DASH_R_c; glyc_R[c]; glyc_R_c; glyc__R; glyc__R_c	RBNPOMFGQQGHHO-UWTATZPHSA-M
glyc2p_c	Glycerol 2-phosphate	glyc2p; glyc2p[c]; glyc2p_c	DHCLVCXQIBBOPH-UHFFFAOYSA-L
glyclt_c	Glycolate C2H3O3	glyclt; glyclt[c]; glyclt_c	AEMRFAOFKBGASW-UHFFFAOYSA-M
grdp_c	Geranyl diphosphate	grdp; grdp[c]; grdp_c	GVVPGTZRZFNKDS-JXMROGBWSA-K
grxrd_c	Glutaredoxin (reduced)	grxrd; grxrd_c	
gslnt_c	Glutathiolselenolate	gslnt; gslnt_c	
h_c	H+	h; h[c]; h_c	GPRLSGONYQIRFK-UHFFFAOYSA-N
h2_c	Hydrogen	h2; h2[c]; h2_c	UFHFLCQGNIYNRP-UHFFFAOYSA-N
h2o_c	H2O H2O	h2o; h2o[c]; h2o_c	XLYOFNOQVPJJNP-UHFFFAOYSA-N
hcys__L_c	L-Homocysteine	hcys-L[c]; hcys_DASH_L_c; hcys_L[c]; hcys_L_c; hcys__L; hcys__L_c	FFFHZYDWPBMWHY-UHFFFAOYSA-N
hdca_c	Hexadecanoate (n-C16:0)	hdca; hdca[c]; hdca_c	IPCSVZSSVZVIGE-UHFFFAOYSA-M
hdd2coa_c	Trans-Hexadec-2-enoyl-CoA	hdd2coa; hdd2coa[c]; hdd2coa_c	JUPAQFRKPHPXLD-MSHHSVQMSA-J
hg2_c	Mercury  charged 2  Hg	hg2; hg2_c	BQPIGGFYSBELGY-UHFFFAOYSA-N
hhlipa_c	Heptosyl-heptosyl-kdo2-lipidA	hhlipa; hhlipa_c	HHPCMWTVGVTYIC-CFEULOSXSA-H
his__L_c	L-Histidine	his-L[c]; his_DASH_L_c; his_L[c]; his_L_c; his__L; his__L_c	HNDVDQJCIGZPNO-YFKPBYRVSA-N
hkndd_c	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate	hkndd; hkndd_c	RFENOVFRMPRRJI-AFCKVHGPSA-L
hlipa_c	Heptosyl-kdo2-lipidA	hlipa; hlipa_c	HPDZKCJEWNZSML-YOZKHJKSSA-H
hom__L_c	L-Homoserine	hom-L[c]; hom_DASH_L_c; hom_L[c]; hom_L_c; hom__L; hom__L_c	UKAUYVFTDYCKQA-VKHMYHEASA-N
hxan_c	Hypoxanthine	hxan; hxan[c]; hxan_c	FDGQSTZJBFJUBT-UHFFFAOYSA-N
icolipa_c	Inner core oligosaccharide lipid A (E coli)	icolipa; icolipa_c	YKVGZDADLKRSPK-YRCDCJNSSA-C
imp_c	IMP C10H11N4O8P	imp; imp[c]; imp_c	GRSZFWQUAKGDAV-KQYNXXCUSA-L
indole_c	Indole	indole; indole[c]; indole_c	SIKJAQJRHWYJAI-UHFFFAOYSA-N
kdo2lipid4L_c	KDO(2)-lipid IV(A) with laurate	kdo2lipid4L; kdo2lipid4L_c	JVUUYJGQIVCMIU-ZODGSCPMSA-H
kdo8p_c	3-Deoxy-D-manno-octulosonate 8-phosphate	kdo8p; kdo8p_c	IZZNRKJLBIYBJN-HXUQBWEZSA-K
lcts_c	Lactose C12H22O11	lcts; lcts[c]; lcts_c	GUBGYTABKSRVRQ-QKKXKWKRSA-N
lipa_c	KDO(2)-lipid (A)	lipa; lipa_c	DIXUKJUHGLIZGU-OIPVZEHTSA-H
lipa_cold_c	Cold adapted KDO(2)-lipid (A)	lipa_cold; lipa_cold_c	YMYMIWUIGJUAIZ-LSPGFKFTSA-H
lipidAds_c	Lipid A Disaccharide	lipidAds; lipidAds_c	HLDJGHAAKRKPAV-QDORLFPLSA-L
lipidX_c	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate	lipidX; lipidX_c	HEHQDWUWJVPREQ-XQJZMFRCSA-L
malcoame_c	Malonyl-CoA methyl ester	malcoame; malcoame_c	CHQAJZULNPRMEN-FZEDXVDRSA-J
malt_c	Maltose C12H22O11	malt; malt[c]; malt_c	GUBGYTABKSRVRQ-PICCSMPSSA-N
malt6p_c	Maltose 6'-phosphate	malt6p; malt6p_c	ITPHOIFCAFNCLL-ASMJPISFSA-L
malthx_c	Maltohexaose	malthx; malthx[c]; malthx_c	OCIBBXPLUVYKCH-QXVNYKTNSA-N
maltpt_c	Maltopentaose	maltpt; maltpt[c]; maltpt_c	FTNIPWXXIGNQQF-DWTFCAFKSA-N
mercppyr_c	Mercaptopyruvate	mercppyr; mercppyr[c]; mercppyr_c	OJOLFAIGOXZBCI-UHFFFAOYSA-M
met__L_c	L-Methionine	met-L[c]; met_DASH_L_c; met_L[c]; met_L_c; met__L; met__L_c	FFEARJCKVFRZRR-BYPYZUCNSA-N
metsox_S__L_c	L-Methionine Sulfoxide	metsox_DASH_S_DASH_L_c; metsox_S_L_c; metsox_S__L; metsox_S__L_c; metsox__S__L_c	QEFRNWWLZKMPFJ-YGVKFDHGSA-N
micit_c	Methylisocitrate	micit; micit[c]; micit_c	HHKPKXCSHMJWCF-WVBDSBKLSA-K
moadcosh_c	MoaD Protein with thiocarboxylate	moadcosh; moadcosh_c	
mpt_c	Molybdopterin	mpt; mpt_c	HPEUEJRPDGMIMY-IFQPEPLCSA-K
msa_c	Malonate semialdehyde	msa; msa_c	OAKURXIZZOAYBC-UHFFFAOYSA-M
myrsACP_c	Myristoyl-ACP (n-C14:0ACP)	myrsACP; myrsACP[c]; myrsACP_c	
nad_c	Nicotinamide adenine dinucleotide	nad; nad[c]; nad_c	BAWFJGJZGIEFAR-NNYOXOHSSA-M
ni2_c	Nickel	ni2; ni2[c]; ni2_c	VEQPNABPJHWNSG-UHFFFAOYSA-N
nicrnt_c	Nicotinate D-ribonucleotide	nicrnt; nicrnt[c]; nicrnt_c	JOUIQRNQJGXQDC-ZYUZMQFOSA-L
o16aund_c	O16 antigen undecaprenyl diphosphate	o16aund; o16aund_c	NYDKXESIKHJNQU-FIYHCCFRSA-L
oaa_c	Oxaloacetate	oaa; oaa[c]; oaa_c	KHPXUQMNIQBQEV-UHFFFAOYSA-L
ocdcap_c	Octadecanoyl-phosphate (n-C18:0)	ocdcap; ocdcap_c	
ocdcea_c	Octadecenoate (n-C18:1)	ocdcea; ocdcea[c]; ocdcea_c	ZQPPMHVWECSIRJ-KTKRTIGZSA-M
odecoa_c	Octadecenoyl-CoA (n-C18:1CoA)	odecoa; odecoa[c]; odecoa_c	XDUHQPOXLUAVEE-BPMMELMSSA-N
opmeACP_c	3-Oxo-pimeloyl-[acyl-carrier protein] methyl ester	opmeACP; opmeACP_c	
pant__R_c	(R)-Pantoate	pant-R[c]; pant_DASH_R_c; pant_R[c]; pant_R_c; pant__R; pant__R_c	OTOIIPJYVQJATP-BYPYZUCNSA-M
pe120_c	Phosphatidylethanolamine (didodecanoyl, n-C12:0)	pe120; pe120[c]; pe120_c	ZLGYVWRJIZPQMM-HHHXNRCGSA-N
pe160_c	Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)	pe160; pe160[c]; pe160_c	SLKDGVPOSSLUAI-PGUFJCEWSA-N
pg120_c	Phosphatidylglycerol (didodecanoyl, n-C12:0)	pg120; pg120[c]; pg120_c	
pg141_c	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)	pg141; pg141_c	
pg161_c	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)	pg161; pg161[c]; pg161_c	GHQNERCMPIDAAU-ANXSUKRNSA-M
pgp140_c	Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)	pgp140; pgp140[c]; pgp140_c	
phe__L_c	L-Phenylalanine	phe-L[c]; phe_DASH_L_c; phe_L[c]; phe_L_c; phe__L; phe__L_c	COLNVLDHVKWLRT-QMMMGPOBSA-N
ppap_c	Propanoyl phosphate	ppap; ppap[c]; ppap_c	FMNMEQSRDWIBFO-UHFFFAOYSA-L
ppbng_c	Porphobilinogen	ppbng; ppbng[c]; ppbng_c	QSHWIQZFGQKFMA-UHFFFAOYSA-M
ppp9_c	Protoporphyrin	ppp9; ppp9[c]; ppp9_c	KSFOVUSSGSKXFI-UJJXFSCMSA-L
pppg9_c	Protoporphyrinogen IX	pppg9; pppg9[c]; pppg9_c	UHSGPDMIQQYNAX-UHFFFAOYSA-L
preq0_c	7-cyano-7-carbaguanine	preq0; preq0_c	FMKSMYDYKXQYRV-UHFFFAOYSA-N
preq1_c	7-aminomethyl-7-deazaguanine	preq1; preq1_c	MEYMBLGOKYDGLZ-UHFFFAOYSA-O
